title,nbre_entrees,id,distributeur,country,genre,date,budget,public,durée,Name1,Name2,year,month,week,season
Baywatch - Alerte à Malibu,620061,16450,Paramount,Etats-Unis,Aventure - Action,2017-06-21,69000000,Tous publics,116,10,6,2017,6,25,2
La Momie (2017),474305,16451,Universal,Etats-Unis,Aventure - Action,2017-06-14,125000000,Tous publics,107,2,11,2017,6,24,2
Cars 3,950353,16452,Walt Disney Pictures,Etats-Unis,Animation 3D,2017-02-08,175000000,Tous publics,109,6,6,2017,2,6,1
Lion,454909,16456,SND,Etats-Unis,Drame,2017-02-22,12000000,Tous publics,129,2,3,2017,2,8,1
Jumanji : Bienvenue dans la jungle,623931,16472,Sony Pictures,Etats-Unis,Aventure - Action,2017-12-20,90000000,Tous publics,119,10,6,2017,12,51,4
Silence,163009,16493,Metropolitan,Etats-Unis,Drame,2017-08-02,40000000,Tous publics,159,10,7,2017,8,31,3
Split,594427,16494,Universal,Etats-Unis,Thriller,2017-02-22,10000000,Moins de 12 ans,116,9,5,2017,2,8,1
Paterson,100137,16557,Le Pacte,Etats-Unis,Comédie dramatique,2016-12-21,5000000,Tous publics,118,1,7,2016,12,51,4
Un sac de billes (2017),406076,16594,Gaumont,France,Drame,2017-01-18,18178988,Tous publics,110,2,5,2017,1,3,1
Les Figures de l'ombre,230488,16613,20th Century Fox,Etats-Unis,Drame,2017-08-03,25000000,Tous publics,127,6,7,2017,8,31,3
20th Century Women,35698,16619,Mars Distribution,Etats-Unis,Comédie dramatique,2017-01-03,7000000,Tous publics,118,4,8,2017,1,1,1
Spider-Man: Homecoming,981189,16620,Sony Pictures,Etats-Unis,Comicbook,2017-12-07,175000000,Tous publics,133,3,2,2017,12,49,4
Chez Nous,144010,16658,Le Pacte,France,Drame,2017-02-22,5306900,Tous publics,114,2,5,2017,2,8,1
Life - Origine Inconnue,222132,16659,Sony Pictures,Etats-Unis,Science Fiction,2017-04-19,58000000,Moins de 12 ans,103,2,11,2017,4,16,2
Le Roi Arthur: La Légende d'Excalibur,362905,16660,Warner Bros.,Etats-Unis,Aventure - Action,2017-05-17,175000000,Tous publics,127,10,9,2017,5,20,2
